stage,content_id,asset_kind,pixellab_id,mode,canvas,status,accepted_direction,prompt_revision,notes
stage_02_dokkaebi_pass,club_dokkaebi,character,40094e97-4a42-42b7-8061-10185acd7d7a,v3,48x48,accepted,south,stage2-v1,"5-7 core colors; flat shading; dark single outline; no white rim"
stage_02_dokkaebi_pass,shield_guard_dokkaebi,character,a8ea076c-2152-462e-95d7-56299e0b3fb4,v3,48x48,accepted,south,stage2-v1,"shield-dominant silhouette"
stage_02_dokkaebi_pass,iron_horn_dokkaebi,character,3f5ec9e3-8c13-43b6-ad72-5bbe3d40c229,v3,48x48,accepted,south,stage2-v1,"forward iron-horn charging silhouette"
stage_02_dokkaebi_pass,stone_thrower_dokkaebi,character,61a47e12-137f-48ce-ad85-4eb80fcf818b,v3,48x48,accepted,south,stage2-v1,"single oversized stone readable at combat scale"
stage_02_dokkaebi_pass,red_horn_elite,character,f30deb3e-b8f8-49a8-873d-39e0e703cc7a,v3,64x64,accepted,south,stage2-v1,"two brick-red horns and short club remain distinct"
stage_02_dokkaebi_pass,one_horn_captain,character,9ca7a67f-8a03-46ac-80df-3e64cb473d7d,v3,80x80,accepted,south,stage2-v1,"single horn and oversized club; 300-second midboss"
stage_02_dokkaebi_pass,iron_shield_general,character,e601d329-c856-4502-b2bf-304437a83ee1,v3,80x80,accepted,south,stage2-v1,"large shield silhouette; 600-second midboss"
stage_02_dokkaebi_pass,dokkaebi_king,character,39912797-f5f5-45ae-b45e-0cd69745f7b0,v3,112x112,accepted,south,stage2-v1,"three-horn crown and colossal club; final boss"
stage_02_dokkaebi_pass,dokkaebi_pass_ground,tileset,a2a6c6cc-bc42-43bf-ba1a-a42ed226d83d,standard,32x32,accepted,lower_base,stage2-v1,"flat ochre road base; dark teal moss edge set retained in source job"
stage_02_dokkaebi_pass,dokkaebi_pass_decoration_1,map_object,b56ceab5-25df-4ed4-b01c-f16c1efe3d7c,basic,64x64,accepted,unknown,stage2-v1,"wind-bent pine mound; non-colliding low-opacity scenery"
stage_02_dokkaebi_pass,dokkaebi_pass_decoration_2,map_object,d695a295-9569-4a2b-8e32-fe3f7113b2e7,basic,64x64,accepted,unknown,stage2-v1,"roadside guardian shrine; non-colliding low-opacity scenery"
stage_02_dokkaebi_pass,dokkaebi_pass_decoration_3,map_object,13e49d28-3596-4683-bc0d-f3533c1299b1,basic,64x64,accepted,unknown,stage2-v1,"mossy pass rock; non-colliding low-opacity scenery"
stage_02_dokkaebi_pass,dokkaebi_pass_decoration_4,map_object,2bd5987d-a562-4565-8c80-bd51763d4438,basic,64x64,accepted,unknown,stage2-v1,"stone offering mound; non-colliding low-opacity scenery"
stage_03_moonlit_tomb,tomb_attendant,character,3f6e30ad-f9ad-4b7e-b77e-4d17b053f077,v3,48x48,accepted,south,stage3-v1,"pale burial robe and small ritual lantern"
stage_03_moonlit_tomb,tomb_archer_ghost,character,80820cd4-79cb-40c7-a237-aabc0bedeb80,v3,48x48,accepted,south,stage3-v1,"large crescent bow and turquoise ghost flame"
stage_03_moonlit_tomb,red_lantern_wraith,character,648d05ff-d2ce-48f0-b249-3efdb45d720e,v3,48x48,accepted,south,stage3-v1,"crimson lantern head and floating cloth silhouette"
stage_03_moonlit_tomb,curse_shaman,character,bca382a1-f27a-4ff2-8dbd-b20f4205ab85,v3,48x48,accepted,south,stage3-v1,"short ritual staff and single violet talisman"
stage_03_moonlit_tomb,grave_ambusher_elite,character,8ae56fb9-622b-42ba-bba6-b1ace1705e5c,v3,64x64,accepted,south,stage3-v1,"dark earth shadow and crimson burial armor"
stage_03_moonlit_tomb,royal_guard_wraith,character,3fba6623-e66e-47be-b762-07fe53bf9d85,v3,80x80,accepted,south,stage3-v1,"large crescent glaive and turquoise spirit trail"
stage_03_moonlit_tomb,eclipse_priest,character,831bb119-381b-4f0c-88bd-83fd858b0fcb,v3,80x80,accepted,south,stage3-v1,"eclipse halo and short ritual staff"
stage_03_moonlit_tomb,eclipse_queen,character,99affe05-8f0b-4526-afe4-dad08e20fd85,v3,112x112,accepted,south,stage3-v1,"burial crown, crescent fan, massive floating gown"
stage_03_moonlit_tomb,moonlit_tomb_ground,tileset,0a7d8307-271b-4162-be8e-31a9d09aa61f,standard,32x32,accepted,lower_base,stage3-v1,"broad midnight-indigo royal tomb courtyard slabs; warning colors remain distinct"
stage_03_moonlit_tomb,moonlit_tomb_decoration_1,map_object,e731f6fb-d719-4133-a1b3-73de4a52efe0,basic,64x64,accepted,unknown,stage3-v1,"bent moonlit pine; non-colliding low-opacity scenery"
stage_03_moonlit_tomb,moonlit_tomb_decoration_2,map_object,d708e889-7e04-4b89-a459-249de06232b5,basic,64x64,accepted,unknown,stage3-v1,"pale stone cairn; non-colliding low-opacity scenery"
stage_03_moonlit_tomb,moonlit_tomb_decoration_3,map_object,dfdd1536-c582-4c49-aeea-6df53eb53578,basic,64x64,accepted,unknown,stage3-v1,"royal tomb marker; non-colliding low-opacity scenery"
stage_03_moonlit_tomb,moonlit_tomb_decoration_4,map_object,7b6aa094-fe3e-40b5-a287-0814afcb8120,basic,64x64,accepted,unknown,stage3-v1,"low ritual altar; non-colliding low-opacity scenery"
